Aklat,Book
Araw,Day/Sun
Asukal,Sugar
Aso,Dog
Bagong Taon,New Year
Bagyo,Storm
Bahay,House
Baka,Maybe
Bansa,Country
Bata,Child
Bato,Rock/Stone
Basura,Trash
Bayan,Town
Bintana,Window
Bolpen,Pen
Buwan,Month/Moon
Bulaklak,Flower
Dagat,Sea
Daigdig,World
Damit,Clothes
Edukasyon,Education
Gatas,Milk
Galit,Angry
Gulay,Vegetable
Guro,Teacher
Gutom,Hungry
Halaman,Plant
Hapag,Dining table
Hangin,Wind
Hindi,No
Ibon,Bird
Ilog,River
Inay,Mother
Isda,Fish
Itay,Father
Kaibigan,Friend
Kaligayahan,Happiness
Kama,Bed
Kamatis,Tomato
Kamusta,Hello/How are you?
Kape,Coffee
Kapatid,Sibling
Kasiyahan,Joy/Fun
Kaunti,Few
Kotse,Car
Kotsilyo,Knife
Kutsara,Spoon
Kutsilyo,Knife
Kuwaderno,Notebook
Langit,Sky/Heaven
Lakad,Walk
Lapís,Pencil
Lolo,Grandfather
Lola,Grandmother
Lungsod,City
Lupa,Earth/Soil
Mabuhay,Welcome/Long live
Maganda,Beautiful
Mahal,Love/Expensive
Mahalaga,Important
Malungkot,Sad
Mangga,Mango
Mansanas,Apple
Mesa,Table
Pag-ibig,Love (romantic)
Pagkain,Food
Palengke,Market
Paliguan,Bathroom
Pamilya,Family
Paalam,Goodbye
Pasko,Christmas
Paaralan,School
Patatas,Potato
Pera,Money
Pinto,Door
Plato,Plate
Prutas,Fruit
Pula,Red
Punong-kahoy,Tree
Pusa,Cat
Saging,Banana
Salamat,Thank you
Salamin,Mirror/Glasses
Sapatos,Shoes
Silya,Chair
Silid,Room
Takbo,Run
Takot,Scared
Tinapay,Bread
Tinidor,Fork
Trabaho,Work
Tindahan,Store
Tulog,Sleep
Tubig,Water
Tuwalya,Towel
Ubas,Grape
Uhaw,Thirsty
Ulan,Rain
Ulap,Cloud
Oo,Yes
