Ito ang aking libro.|This is my book.|When identifying your book.
Sa kanya ang bag na ito.|This bag belongs to him/her.|When specifying ownership of a bag.
Alin ang iyong cellphone?|Which one is your cellphone?|When trying to identify someone's phone.
Mahalaga sa akin ang singsing na ito.|This ring is important to me.|When expressing the importance of a ring.
Ang kotse nila ay bago.|Their car is new.|When describing someone’s new car.
Akin ang mga laruan na iyon.|Those toys are mine.|When asserting ownership of toys.
Ang bahay namin ay malapit sa eskwelahan.|Our house is near the school.|When describing the location of your house.
Sa kanya ba ang mga sapatos na ito?|Are these shoes his/hers?|When questioning the ownership of shoes.
Luma na ang kanyang laptop.|His/her laptop is already old.|When describing an old laptop.
Sa kanila ang mga gamit na ito.|These things belong to them.|When specifying that certain items belong to them.
Iyan ang kanyang payong.|That is his/her umbrella.|When identifying someone's umbrella.
Saan ang iyong mga susi?|Where are your keys?|When looking for someone’s keys.
Pahiram ng iyong bolpen.|Can I borrow your pen?|When asking to borrow a pen.
Mahalaga ang kanyang alahas.|His/her jewelry is valuable.|When describing the value of someone’s jewelry.
Gusto ko ang damit mo.|I like your clothes.|When complimenting someone's clothes.
Nasaan ang aming dokumento?|Where is our document?|When looking for a document that belongs to your group.
Ito ba ang iyong upuan?|Is this your chair?|When confirming if a chair belongs to someone.
Kanino ang mga librong ito?|Whose books are these?|When asking about the owner of certain books.
Bagong bili ang kanyang relo.|His/her watch is newly bought.|When describing a newly bought watch.
Maganda ang iyong sapatos.|Your shoes are nice.|When complimenting someone's shoes.
